Abreviatura,Palabra completa,Ejemplo,Ubicación
obligos,obligamos,,
obpo,obispo,,
offes,oficiales,,
offo,oficio,,AGN_Tierras_v2678_exp031_03
offs,oficiales,,AGN_Indios_v021_exp095
oficl,oficial,,AGN_Marina_v002_231
orn,orden,,AGN_Marina_v002_372
otue,octubre,,BnF_113_48
pa,para,,AGN_Marina_v002_230
parezr,parecer,,AGN_Indios_v019_exp049
pdo e suppco,pido e suplico,,
Pe,presidente,,AGN_Indios_v002_exp928
pedimio,pedimento,,
perssa,persona,,AGN_Indios_v002_exp861
petton,petición,,AGN_Indios_v021_exp095
Po,Pedro,,AGN_Indios_v002_exp928
pos,pesos,,
pr,por,,AGN_Marina_v002_231
pra,persona,,AGN_Tierras_v2678_exp031_18
prdo,partido,,AGN_Indios_v021_exp095
pregdo,preguntado,,BnF_075_07
prese,presidente,,AGN_Indios_v002_exp928
presste,presidente,,
preste,presente,,AGN_Marina_v002_009
presto,presento,,AGN_Marina_v002_017
pror,procurador,,
provia,provincia,,
provina,provincia,,AGN_Marina_v002_364
provion,provisión,,AGN_Indios_v002_exp928
prsa,persona,,AGN_Tierras_v2678_exp031_16
prua,prueba,,BnF_112_34
psa,persona,,
psnte,presente,,
pte,parte,,BnF_032_11
ptes,partes,,AGN_Indios_v021_exp095
pto,puerto,,
puco,público,,BnF_112_28
puo,pueblo,,
Puo.,pueblo,,
q,que,,
qal,quintal,,
qdo,contenido,,
ql,que el,,AGN_Indios_v005_exp529
qlqera,cualquiera,,
qls,quintales,,
qn,quien,,AGN_Indios_v019_exp049
qnos,quintalenos,,
qo,Consejo (Real Consejo),,
qo,cuanto,,BnF_112_34
qta,cuenta,,
qto,cuanto,,AGN_Indios_v019_exp049
qualqer,cualquier,,
quara,cuarenta,,AGN_Indios_v002_exp928
quios,quinientos,,AGN_Indios_v002_exp861
Ral,Real,,AGN_Indios_v002_exp928
Rdos,Reverendos,,
reglamto,reglamento,,AGN_Marina_v002_232
Repca,República,,
reppca,república,,AGN_Indios_v021_exp095
Res,reales,,
respta,respuesta,,AGN_Indios_v021_exp095
Rges,Rodríguez,,AGN_Indios_v021_exp095
Rl,Real,,
rral,Real,,AGN_Indios_v002_exp928
rrdo,recibido,,
rregdo,registrado,Picture,
rrego,registro,Picture,
rrelon,relación,,AGN_Indios_v002_exp835
rrenes,renglones,,
rres,reales,,
rrro,registro,,
rrz,Rodríguez,,
Rz,Rodríguez,,
sacramtos,sacramentos,,AGN_Indios_v021_exp095
salamca,Salamanca,,AGN_Indios_v021_exp095
salo,salario,,AGN_Marina_v002_009
satiffas,satisfechas,,
schz,Sánchez,,AGN_Indios_v021_exp095
